;1398;08.01.2019
;988;10.01.2019
;1774;10.01.2019
Andrzej;822;10.01.2019
Andrzej;340;13.01.2019
Andrzej;370;13.01.2019
Andrzej;2094;14.01.2019
Andrzej;2114;14.01.2019
Andrzej;2814;14.01.2019
Andrzej;2854;14.01.2019
Student;290;14.01.2019
Student1;1618;15.01.2019
Student1;1388;15.01.2019
Student1;1618;15.01.2019
Student1;1628;15.01.2019
Student1;1638;15.01.2019
Student1;1508;16.01.2019
Student1;1608;26.01.2019
Student1;1308;26.01.2019
Student1;1308;26.01.2019
Student1;1678;26.01.2019
Student1;3064;26.01.2019
